Match,Period,xG for,xG against,PPDA,Opp PPDA,Possession %,Field tilt %
01/01/2020 v Away Team,First half,1.21,0.22,0.88,0.87,50.7,50.0
01/01/2020 v Away Team,Second half,0.77,0.44,1.03,1.46,58.1,50.0
